subnum,trial,diff,resp,corr,abstime,rt
1,1,-54,<lshift>,0,22093,874
1,2,-63,<lshift>,0,23730,185
1,3,-56,<rshift>,1,24679,19
1,4,-41,<rshift>,1,25462,1111
1,5,-27,<rshift>,1,27336,299
1,6,-42,<lshift>,0,28399,5
1,7,-46,<lshift>,0,29164,573
1,8,-31,<rshift>,1,30497,211
1,9,-48,<lshift>,0,31472,93
1,10,-60,<lshift>,0,32327,109
1,11,-50,<rshift>,1,33197,719
1,12,-46,<rshift>,1,34680,213
1,13,-37,<rshift>,1,35655,165
1,14,-49,<lshift>,0,36584,39
1,15,-58,<lshift>,0,37384,114
1,16,-42,<rshift>,1,38261,783
1,17,-28,<rshift>,1,39806,236
1,18,-46,<lshift>,0,40805,768
1,19,-62,<lshift>,0,42333,52
1,20,-49,<rshift>,1,43149,76
1,21,-40,<rshift>,1,43989,15
1,22,-57,<lshift>,0,44767,1
1,23,-72,<lshift>,0,45528,34
1,24,-65,<rshift>,1,46327,895
1,25,-58,<rshift>,1,47985,642
1,26,-48,<rshift>,1,49390,265
1,27,-54,<lshift>,0,50416,38
1,28,-45,<rshift>,1,51215,28
1,29,-33,<rshift>,1,52005,612
1,30,-48,<lshift>,0,53380,522
1,31,-61,<lshift>,0,54665,77
1,32,-57,<rshift>,1,55506,509
1,33,-46,<rshift>,1,56776,458
1,34,-32,<rshift>,1,57995,402
1,35,-40,<lshift>,0,59160,527
1,36,-32,<rshift>,1,60452,478
1,37,-39,<lshift>,0,61693,431
1,38,-25,<rshift>,1,62885,517
1,39,-34,<lshift>,0,64166,369
1,40,-32,<rshift>,1,65297,377
1,41,-47,<lshift>,0,66436,31
1,42,-39,<rshift>,1,67232,246
1,43,-43,<lshift>,0,68239,704
1,44,-27,<rshift>,1,69707,544
1,45,-42,<lshift>,0,71015,255
1,46,-27,<rshift>,1,72036,214
1,47,-35,<lshift>,0,73012,502
1,48,-21,<rshift>,1,74276,181
1,49,-26,<lshift>,0,75221,85
1,50,-36,<lshift>,0,76069,457
