subnum,trial,diff,resp,corr,abstime,rt
6,1,-55,<lshift>,0,23648,651
6,2,-42,<rshift>,1,25059,353
6,3,-57,<lshift>,0,26171,186
6,4,-48,<rshift>,1,27118,208
6,5,-35,<rshift>,1,28085,270
6,6,-43,<lshift>,0,29117,148
6,7,-30,<rshift>,1,30025,238
6,8,-35,<lshift>,0,31021,140
6,9,-41,<lshift>,0,31923,176
6,10,-54,<lshift>,0,32860,123
6,11,-65,<lshift>,0,33744,177
6,12,-50,<rshift>,1,34681,191
6,13,-60,<lshift>,0,35632,267
6,14,-45,<rshift>,1,36661,212
6,15,-58,<lshift>,0,37632,242
6,16,-53,<rshift>,1,38637,184
6,17,-44,<rshift>,1,39583,160
6,18,-58,<lshift>,0,40503,310
6,19,-52,<rshift>,1,41573,214
6,20,-38,<rshift>,1,42547,141
6,21,-52,<lshift>,0,43449,181
6,22,-43,<rshift>,1,44389,274
6,23,-51,<lshift>,0,45424,194
6,24,-57,<lshift>,0,46379,389
6,25,-49,<rshift>,1,47530,176
6,26,-57,<lshift>,0,48468,365
6,27,-51,<rshift>,1,49592,303
6,28,-63,<lshift>,0,50655,191
6,29,-50,<rshift>,1,51606,211
6,30,-57,<lshift>,0,52575,176
6,31,-43,<rshift>,1,53513,169
6,32,-30,<rshift>,1,54443,406
6,33,-48,<lshift>,0,55609,163
6,34,-56,<lshift>,0,56531,191
6,35,-48,<rshift>,1,57483,247
6,36,-66,<lshift>,0,58490,155
6,37,-59,<rshift>,1,59407,341
6,38,-44,<rshift>,1,60509,261
6,39,-49,<lshift>,0,61529,190
6,40,-62,<lshift>,0,62480,423
6,41,-51,<rshift>,1,63663,172
6,42,-45,<rshift>,1,64597,234
6,43,-51,<lshift>,0,65591,129
6,44,-54,<lshift>,0,66480,198
6,45,-61,<lshift>,0,67439,186
6,46,-54,<rshift>,1,68385,238
6,47,-43,<rshift>,1,69384,193
6,48,-47,<lshift>,0,70336,197
6,49,-58,<lshift>,0,71295,203
6,50,-44,<rshift>,1,72256,275
