subnum,trial,diff,resp,corr,abstime,rt
3,1,-55,<lshift>,0,2813,499
3,2,-48,<rshift>,1,4074,1456
3,3,-43,<rshift>,1,6292,360
3,4,-53,<lshift>,0,7415,325
3,5,-49,<rshift>,1,8501,116
3,6,-32,<rshift>,1,9379,180
3,7,-39,<lshift>,0,10322,147
3,8,-44,<lshift>,0,11230,128
3,9,-38,<rshift>,1,12120,411
3,10,-52,<lshift>,0,13293,251
3,11,-43,<rshift>,1,14305,76
3,12,-28,<rshift>,1,15143,283
3,13,-31,<lshift>,0,16188,163
3,14,-23,<rshift>,1,17113,132
3,15,-29,<lshift>,0,18006,156
3,16,-31,<lshift>,0,18928,119
3,17,-42,<lshift>,0,19808,135
3,18,-33,<rshift>,1,20704,211
3,19,-38,<lshift>,0,21678,197
3,20,-45,<lshift>,0,22647,204
3,21,-42,<rshift>,1,23613,183
3,22,-50,<lshift>,0,24557,38
3,23,-37,<rshift>,1,25357,252
3,24,-33,<rshift>,1,26370,162
3,25,-46,<lshift>,0,27293,176
3,26,-59,<lshift>,0,28232,138
3,27,-51,<rshift>,1,29132,156
3,28,-35,<rshift>,1,30049,147
3,29,-53,<lshift>,0,30957,149
3,30,-43,<rshift>,1,31867,205
3,31,-28,<rshift>,1,32836,262
3,32,-13,<rshift>,1,33859,306
3,33,0,<rshift>,1,34927,9
3,34,6,<lshift>,0,35698,110
3,35,-7,<lshift>,1,36570,40
3,36,-16,<lshift>,0,37371,102
3,37,-34,<lshift>,0,38236,1558
3,38,-25,<rshift>,1,40555,272
3,39,-38,<lshift>,0,41590,85
3,40,-50,<lshift>,0,42437,129
3,41,-64,<lshift>,0,43329,129
3,42,-47,<rshift>,1,44221,119
3,43,-33,<rshift>,1,45104,196
3,44,-49,<lshift>,0,46063,119
3,45,-31,<rshift>,1,46944,232
3,46,-34,<lshift>,0,47939,108
3,47,-43,<lshift>,0,48809,103
3,48,-41,<rshift>,1,49674,100
3,49,-53,<lshift>,0,50535,136
3,50,-45,<rshift>,1,51433,126
