subnum,trial,diff,resp,corr,abstime,rt
12,1,-31,<rshift>,1,9343,941
12,2,-36,<lshift>,0,11047,548
12,3,-20,<rshift>,1,12356,336
12,4,-30,<lshift>,0,13456,375
12,5,-21,<rshift>,1,14592,466
12,6,-26,<lshift>,0,15822,464
12,7,-12,<rshift>,1,17045,584
12,8,-19,<lshift>,0,18393,432
12,9,-26,<lshift>,0,19586,258
12,10,-35,<lshift>,0,20607,309
12,11,-31,<rshift>,1,21679,239
12,12,-35,<lshift>,0,22681,466
12,13,-21,<rshift>,1,23910,523
12,14,-36,<lshift>,0,25196,456
12,15,-50,<lshift>,0,26416,448
12,16,-48,<rshift>,1,27626,191
12,17,-38,<rshift>,1,28579,324
12,18,-32,<rshift>,1,29664,381
12,19,-42,<lshift>,0,30807,82
12,20,-38,<rshift>,1,31650,447
12,21,-54,<lshift>,0,32857,492
12,22,-50,<rshift>,1,34113,439
12,23,-37,<rshift>,1,35315,351
12,24,-51,<lshift>,0,36427,462
12,25,-60,<lshift>,0,37652,586
12,26,-50,<rshift>,1,39002,487
12,27,-43,<rshift>,1,40252,5066
12,28,-49,<lshift>,0,46079,331
12,29,-33,<rshift>,1,47173,306
12,30,-51,<lshift>,0,48242,522
12,31,-68,<lshift>,0,49526,652
12,32,-54,<rshift>,1,50941,97
12,33,-50,<rshift>,1,51801,389
12,34,-57,<lshift>,0,52953,338
12,35,-44,<rshift>,1,54055,253
12,36,-59,<lshift>,0,55071,600
12,37,-51,<rshift>,1,56434,349
12,38,-62,<lshift>,0,57546,445
12,39,-50,<rshift>,1,58757,218
12,40,-34,<rshift>,1,59737,290
12,41,-45,<lshift>,0,60788,387
12,42,-31,<rshift>,1,61939,235
12,43,-34,<lshift>,0,62934,265
12,44,-50,<lshift>,0,63962,285
12,45,-47,<rshift>,1,65007,424
12,46,-52,<lshift>,0,66193,381
12,47,-37,<rshift>,1,67337,346
12,48,-51,<lshift>,0,68445,411
12,49,-48,<rshift>,1,69619,356
12,50,-42,<rshift>,1,70740,276
