UserID;MovieID;Title;Year;Gender;Age;Rating;Timestamp;Budget;Gender2
2;1357;Shine (1996);1996;Male;50;5;2015-10-18 00:00:00;12842443;1
2;3068;Verdict The (1982);1982;Male;50;4;2015-01-14 00:00:00;17479404;1
2;1537;Shall We Dance? (Shall We Dansu?) (1996);1996;Male;50;4;2015-05-22 00:00:00;11764873;1
2;647;Courage Under Fire (1996);1996;Male;49;3;2014-02-21 00:00:00;19816087;1
2;2194;Untouchables The (1987);1987;Male;50;4;2015-10-25 00:00:00;13196803;1
2;648;Mission: Impossible (1996);1996;Male;50;4;2015-01-07 00:00:00;11413220;1
2;2268;Few Good Men A (1992);1992;Male;49;5;2014-05-27 00:00:00;9749713;1
2;2628;Star Wars: Episode I - The Phantom Menace (1999);1999;Male;50;3;2015-11-03 00:00:00;6387593;1
2;1103;Rebel Without a Cause (1955);1955;Male;50;3;2015-06-07 00:00:00;13505239;1
2;2916;Total Recall (1990);1990;Male;50;3;2015-09-19 00:00:00;19295890;1
2;3468;Hustler The (1961);1961;Male;50;5;2015-08-17 00:00:00;8681899;1
2;1210;Star Wars: Episode VI - Return of the Jedi (1983);1983;Male;49;4;2014-02-09 00:00:00;12137523;1
2;1792;U.S. Marshalls (1998);1998;Male;50;3;2015-07-02 00:00:00;5291162;1
2;1687;Jackal The (1997);1997;Male;49;3;2014-05-11 00:00:00;19369902;1
2;1213;GoodFellas (1990);1990;Male;50;2;2014-11-28 00:00:00;5943637;1
2;3578;Gladiator (2000);2000;Male;50;5;2015-06-24 00:00:00;10337825;1
2;2881;Double Jeopardy (1999);1999;Male;50;3;2014-12-29 00:00:00;14191051;1
2;3030;Yojimbo (1961);1961;Male;49;4;2014-10-09 00:00:00;11719704;1
2;1217;Ran (1985);1985;Male;49;3;2014-03-12 00:00:00;9307757;1
2;3105;Awakenings (1990);1990;Male;50;4;2015-10-17 00:00:00;5201179;1
2;434;Cliffhanger (1993);1993;Male;50;2;2015-10-03 00:00:00;11905457;1
2;2126;Snake Eyes (1998);1998;Male;49;3;2014-02-04 00:00:00;5384285;1
2;3107;Backdraft (1991);1991;Male;50;2;2014-12-23 00:00:00;15371714;1
2;3108;Fisher King The (1991);1991;Male;50;3;2015-02-01 00:00:00;7887925;1
2;3035;Mister Roberts (1955);1955;Male;49;4;2014-10-16 00:00:00;18266591;1
2;1253;Day the Earth Stood Still The (1951);1951;Male;50;3;2015-03-12 00:00:00;11015199;1
2;1610;Hunt for Red October The (1990);1990;Male;50;5;2015-05-19 00:00:00;7236303;1
2;292;Outbreak (1995);1995;Male;50;3;2015-02-01 00:00:00;10742844;1
2;2236;Simon Birch (1998);1998;Male;49;5;2014-03-07 00:00:00;17380625;1
2;3071;Stand and Deliver (1987);1987;Male;49;4;2014-09-10 00:00:00;6325475;1
2;902;Breakfast at Tiffany's (1961);1961;Male;51;2;2015-11-11 00:00:00;5284048;1
2;368;Maverick (1994);1994;Male;51;4;2015-11-24 00:00:00;19247944;1
2;1259;Stand by Me (1986);1986;Male;49;5;2014-03-24 00:00:00;8995033;1
2;3147;Green Mile The (1999);1999;Male;49;5;2014-04-08 00:00:00;16718529;1
2;1544;Lost World: Jurassic Park The (1997);1997;Male;49;4;2014-05-28 00:00:00;12042717;1
2;1293;Gandhi (1982);1982;Male;49;5;2014-08-21 00:00:00;18366986;1
2;1188;Strictly Ballroom (1992);1992;Male;51;4;2015-11-19 00:00:00;13842977;1
