UserID;MovieID;Rating;Occupation;Age;Gender2;Animation;Children_s;Comedy;Adventure;Fantasy;Romance;Drama;Action;Crime;Thriller;Horror;Sci_Fi;Documentary;War;Musical;Mystery;Film_Noir;Budget;RatingLabel
2;1357;5;16;50;1;;;;;;1;1;;;;;;;;;;;12842443;High
2;3068;4;16;50;1;;;;;;;1;;;;;;;;;;;17479404;High
2;1537;4;16;50;1;;;1;;;;;;;;;;;;;;;11764873;High
2;647;3;16;49;1;;;;;;;1;;;;;;;1;;;;19816087;High
2;2194;4;16;50;1;;;;;;;1;1;1;;;;;;;;;13196803;High
2;648;4;16;50;1;;;;1;;;;1;;;;;;;;1;;11413220;High
2;2268;5;16;49;1;;;;;;;1;;1;;;;;;;;;9749713;High
2;2628;3;16;50;1;;;;1;1;;;1;;;;1;;;;;;6387593;High
2;1103;3;16;50;1;;;;;;;1;;;;;;;;;;;13505239;High
2;2916;3;16;50;1;;;;1;;;;1;;1;;1;;;;;;19295890;High
2;3468;5;16;50;1;;;;;;;1;;;;;;;;;;;8681899;High
2;1210;4;16;49;1;;;;1;;1;;1;;;;1;;1;;;;12137523;High
2;1792;3;16;50;1;;;;;;;;1;;1;;;;;;;;5291162;High
2;1687;3;16;49;1;;;;;;;;1;;1;;;;;;;;19369902;High
2;1213;2;16;50;1;;;;;;;1;;1;;;;;;;;;5943637;Low
2;3578;5;16;50;1;;;;;;;1;1;;;;;;;;;;10337825;High
2;2881;3;16;50;1;;;;;;;;1;;1;;;;;;;;14191051;High
2;3030;4;16;49;1;;;1;;;;1;;;;;;;;;;;11719704;High
2;1217;3;16;49;1;;;;;;;1;;;;;;;1;;;;9307757;High
2;3105;4;16;50;1;;;;;;;1;;;;;;;;;;;5201179;High
2;434;2;16;50;1;;;;1;;;;1;1;;;;;;;;;11905457;Low
2;2126;3;16;49;1;;;;;;;;1;1;1;;;;;;1;;5384285;High
2;3107;2;16;50;1;;;;;;;1;1;;;;;;;;;;15371714;Low
2;3108;3;16;50;1;;;1;;;1;1;;;;;;;;;;;7887925;High
2;3035;4;16;49;1;;;1;;;;1;;;;;;;1;;;;18266591;High
2;1253;3;16;50;1;;;;;;;1;;;;;1;;;;;;11015199;High
2;1610;5;16;50;1;;;;;;;;1;;1;;;;;;;;7236303;High
2;292;3;16;50;1;;;;;;;1;1;;1;;;;;;;;10742844;High
2;2236;5;16;49;1;;;;;;;1;;;;;;;;;;;17380625;High
2;3071;4;16;49;1;;;;;;;1;;;;;;;;;;;6325475;High
2;902;2;16;51;1;;;;;;1;1;;;;;;;;;;;5284048;Low
2;368;4;16;51;1;;;1;;;;;1;;;;;;;;;;19247944;High
2;1259;5;16;49;1;;;1;1;;;1;;;;;;;;;;;8995033;High
2;3147;5;16;49;1;;;;;;;1;;;1;;;;;;;;16718529;High
2;1544;4;16;49;1;;;;1;;;;1;;1;;1;;;;;;12042717;High
2;1293;5;16;49;1;;;;;;;1;;;;;;;;;;;18366986;High
2;1188;4;16;51;1;;;1;;;1;;;;;;;;;;;;13842977;High
2;3255;4;16;50;1;;;1;;;;1;;;;;;;;;;;5619943;High
2;3256;2;16;50;1;;;;;;;;1;;1;;;;;;;;9214637;Low
2;3257;3;16;49;1;;;;;;1;1;1;;1;;;;;;;;5497549;High
2;110;5;16;49;1;;;;;;;1;1;;;;;;1;;;;6951535;High
2;2278;3;16;50;1;;;;;;;;1;1;1;;;;;;;;16649424;High
2;2490;3;16;49;1;;;;;;;;1;;1;;;;;;;;10574344;High
2;1834;4;16;49;1;;;;;;;1;;;1;;;;;;;;6664522;High
2;3471;5;16;49;1;;;;;;;1;;;;;1;;;;;;18163860;High
2;589;4;16;49;1;;;;;;;;1;;1;;1;;;;;;13827520;High
2;1690;3;16;49;1;;;;;;;;1;;;1;1;;;;;;19893037;High
2;3654;3;16;49;1;;;;;;;1;1;;;;;;1;;;;14223398;High
2;2852;3;16;49;1;;;;;;;1;;;;;;;;;;;10521925;High
2;1945;5;16;49;1;;;;;;;1;;1;;;;;;;;;9437032;High
2;982;4;16;50;1;;;;;;;1;;;;;;;;;;;9991624;High
2;1873;4;16;50;1;;;;;;;1;;;;;;;;;;;15468164;High
2;2858;4;16;50;1;;;1;;;;1;;;;;;;;;;;11119809;High
2;1225;5;16;49;1;;;;;;;1;;;;;;;;;;;13597779;High
2;2028;4;16;49;1;;;;;;;1;1;;;;;;1;;;;15361614;High
2;515;5;16;50;1;;;;;;;1;;;;;;;;;;;14208836;High
2;442;3;16;50;1;;;;;;;;1;;;;1;;;;;;12826831;High
2;2312;3;16;49;1;;;;;;;1;;;;;;;;;;;19388209;High
2;265;4;16;49;1;;;;;;1;1;;;;;;;;;;;14154180;High
2;1408;3;16;49;1;;;;;;1;;1;;;;;;1;;;;14957986;High
2;1084;3;16;50;1;;;;;;;1;;1;;;;;;;;;7495312;High
2;3699;2;16;50;1;;;;1;;1;1;;;;;1;;;;;;6095008;Low
2;480;5;16;51;1;;;;1;;;;1;;;;1;;;;;;14987247;High
2;1442;4;16;49;1;;;;;;;1;;;;;;;;;;;17627092;High
2;2067;5;16;50;1;;;;;;1;1;;;;;;;1;;;;5298311;High
2;1265;3;16;49;1;;;1;;;1;;;;;;;;;;;;7991428;High
2;1370;5;16;50;1;;;;;;;;1;;1;;;;;;;;9156695;High
2;1193;5;16;50;1;;;;;;;1;;;;;;;;;;;18510747;High
2;1801;3;16;49;1;;;;;;1;1;1;;;;;;;;;;12354878;High
2;1372;3;16;49;1;;;;1;;;;1;;;;1;;;;;;10165141;High
2;2353;4;16;49;1;;;;;;;;1;;1;;;;;;;;10745262;High
2;3334;4;16;49;1;;;;;;;1;;1;1;;;;;;;1;13261301;High
2;2427;2;16;49;1;;;;;;;1;1;;;;;;1;;;;18531021;Low
2;590;5;16;49;1;;;;1;;;1;;;;;;;;;;;9763340;High
2;1196;5;16;49;1;;;;1;;;1;1;;;;1;;1;;;;19985510;High
2;1552;3;16;50;1;;;;1;;;;1;;1;;;;;;;;18786478;High
2;736;4;16;49;1;;;;1;;1;;1;;1;;;;;;;;18936616;High
2;1198;4;16;50;1;;;;1;;;;1;;;;;;;;;;12272854;High
2;593;5;16;49;1;;;;;;;1;;;1;;;;;;;;16112316;High
2;2359;3;16;49;1;;;1;;;;;;;;;;;;;;;10426689;High
2;95;2;16;50;1;;;;;;;;1;;1;;;;;;;;13114952;Low
2;2717;3;16;50;1;;;1;;;;;;;;1;;;;;;;9075953;High
2;2571;4;16;49;1;;;;;;;;1;;1;;1;;;;;;6162695;High
2;1917;3;16;49;1;;;;1;;;;1;;1;;1;;;;;;15677334;High
2;2396;4;16;49;1;;;1;;;1;;;;;;;;;;;;8186346;High
2;3735;3;16;50;1;;;;;;;1;;1;;;;;;;;;9822382;High
2;1953;4;16;49;1;;;;;;;1;1;1;1;;;;;;;;7621472;High
2;1597;3;16;50;1;;;;;;1;;1;;1;;;;;;1;;5078459;High
2;3809;3;16;50;1;;;1;;;;;;;;;;;;;;;19447218;High
2;1954;5;16;50;1;;;;;;;1;1;;;;;;;;;;16313252;High
2;1955;4;16;50;1;;;;;;;1;;;;;;;;;;;14733489;High
2;235;3;16;49;1;;;1;;;;1;;;;;;;;;;;16943170;High
2;1124;5;16;49;1;;;;;;;1;;;;;;;;;;;8457734;High
2;1957;5;16;49;1;;;;;;;1;;;;;;;;;;;6998527;High
2;163;4;16;50;1;;;;;;1;;1;;1;;;;;;;;18848692;High
2;21;1;16;50;1;;;1;;;;1;1;;;;;;;;;;18516416;Low
2;165;3;16;50;1;;;;;;;;1;;1;;;;;;;;12011518;High
2;2321;3;16;50;1;;;1;;;;;;;;;;;;;;;7069939;High
2;1090;2;16;50;1;;;;;;;1;;;;;;;1;;;;15083543;Low
2;380;5;16;49;1;;;1;1;;1;;1;;;;;;;;;;7497980;High
2;2501;5;16;50;1;;;;;;;1;;;;;;;;;;;5448537;High
2;349;4;16;49;1;;;;1;;;;1;;1;;;;;;;;15475255;High
2;457;4;16;50;1;;;;;;;;1;;1;;;;;;;;17043084;High
2;1096;4;16;49;1;;;;;;;1;;;;;;;;;;;5129593;High
2;920;5;16;49;1;;;;;;1;1;;;;;;;1;;;;6557524;High
2;459;3;16;49;1;;;;;;;;1;;;;;;;;;;5990341;High
2;1527;4;16;50;1;;;;;;;;1;;;;1;;;;;;10764430;High
2;3418;4;16;49;1;;;;;;;1;1;;;;;;;;;;9961139;High
2;1385;3;16;50;1;;;;;;;;1;;;;;;;;;;13053096;High
2;3451;4;16;50;1;;;1;;;;1;;;;;;;;;;;17451152;High
2;3095;4;16;50;1;;;;;;;1;;;;;;;;;;;14293065;High
2;780;3;16;49;1;;;;;;;;1;;;;1;;1;;;;17457251;High
2;498;3;16;50;1;;;;;;1;1;;;;;;;;;;;15188640;High
2;2728;3;16;50;1;;;;;;;1;;;;;;;;;;;19238942;High
2;2002;5;16;49;1;;;1;;;;1;1;1;;;;;;;;;17853121;High
2;1962;5;16;49;1;;;;;;;1;;;;;;;;;;;18668681;High
2;1784;5;16;49;1;;;1;;;;1;;;;;;;;;;;5422789;High
2;2943;4;16;49;1;;;;;;1;1;;;;;;;;;;;16765084;High
2;2006;3;16;49;1;;;;1;;1;;1;;;;;;;;;;13822773;High
2;318;5;16;50;1;;;;;;;1;;;;;;;;;;;16680487;High
2;1207;4;16;49;1;;;;;;;1;;;;;;;;;;;6560905;High
2;1968;2;16;49;1;;;1;;;;1;;;;;;;;;;;9897353;Low
2;3678;3;16;50;1;;;;;;;1;;;;;;;;;;;11969609;High
2;1244;3;16;50;1;;;1;;;1;1;;;;;;;;;;;15041389;High
2;356;5;16;50;1;;;1;;;1;;;;;;;;1;;;;11304423;High
2;1245;2;16;49;1;;;;;;;1;;;;;;;;;;;15459791;Low
2;1246;5;16;51;1;;;;;;;1;;;;;;;;;;;11638896;High
2;3893;1;16;49;1;;;1;;;;;;;1;;;;;;;;7504028;Low
2;1247;5;16;49;1;;;;;;1;1;;;;;;;;;;;8013953;High
3;3421;4;15;19;1;;;1;;;;;;;;;;;;;;;9861663;High
3;1641;2;15;19;1;;;1;;;;;;;;;;;;;;;11529490;Low
3;648;3;15;20;1;;;;1;;;;1;;;;;;;;1;;11413220;High
3;1394;4;15;20;1;;;1;;;;;;;;;;;;;;;7711707;High
3;3534;3;15;20;1;;;1;;;;;;;;;;;;;;;6726046;High
3;104;4;15;18;1;;;1;;;;;;;;;;;;;;;11482513;High
3;2735;4;15;19;1;;;1;1;;;;1;;;;;;;;;;14983693;High
3;1210;4;15;20;1;;;;1;;1;;1;;;;1;;1;;;;12137523;High
3;1431;3;15;19;1;;;1;;;;;1;;;;;;;;;;7681897;High
3;3868;3;15;19;1;;;1;;;;;;;;;;;;;;;15797400;High
3;1079;5;15;19;1;;;1;;;;;;;;;;;;;;;10775762;High
3;2997;3;15;19;1;;;1;;;;;;;;;;;;;;;14343394;High
3;1615;5;15;20;1;;;;1;;;;;;1;;;;;;;;17681122;High
3;1291;4;15;19;1;;;;1;;;;1;;;;;;;;;;5786816;High
3;1259;5;15;18;1;;;1;1;;;1;;;;;;;;;;;8995033;High
3;653;4;15;18;1;;;;1;1;;;1;;;;;;;;;;8778100;High
3;2167;5;15;19;1;;;;1;;;;1;;;1;;;;;;;7079682;High
3;1580;3;15;19;1;;;1;1;;;;1;;;;1;;;;;;15010678;High
3;3619;2;15;19;1;;;1;;;;;;;;;;;;;;;14460284;Low
3;260;5;15;19;1;;;;1;1;;;1;;;;1;;;;;;7598469;High
3;2858;4;15;19;1;;;1;;;;1;;;;;;;;;;;11119809;High
3;3114;3;15;19;1;1;1;1;;;;;;;;;;;;;;;8606884;High
3;1049;4;15;19;1;;;;1;;;;1;;;;;;;;;;11478184;High
3;1261;1;15;19;1;;;1;1;;;;1;;;1;;;;;;;9380114;Low
3;552;4;15;18;1;;;1;1;;;;1;;;;;;;;;;11639973;High
3;480;4;15;19;1;;;;1;;;;1;;;;1;;;;;;14987247;High
3;1265;2;15;20;1;;;1;;;1;;;;;;;;;;;;7991428;Low
3;1266;5;15;19;1;;;;;;;;;;;;;;;;;;18519542;High
3;733;5;15;19;1;;;;1;;;;1;;1;;;;;;;;15749557;High
3;1196;4;15;18;1;;;;1;;;1;1;;;;1;;1;;;;19985510;High
3;590;4;15;19;1;;;;1;;;1;;;;;;;;;;;9763340;High
3;2355;5;15;19;1;1;1;1;;;;;;;;;;;;;;;15651504;High
3;1197;5;15;19;1;;;1;1;;1;;1;;;;;;;;;;5998318;High
3;1198;5;15;19;1;;;;1;;;;1;;;;;;;;;;12272854;High
3;1378;5;15;19;1;;;1;;;;;1;;;;;;;;;;16602075;High
3;593;3;15;19;1;;;;;;;1;;;1;;;;;;;;16112316;High
3;1379;4;15;19;1;;;1;;;;;1;;;;;;;;;;10798316;High
3;3552;5;15;19;1;;;1;;;;;;;;;;;;;;;5525587;High
3;1304;5;15;18;1;;;1;;;;;1;;;;;;;;;;11730052;High
3;1270;3;15;20;1;;;1;;;;;;;;;1;;;;;;10680086;High
3;2470;4;15;20;1;;;1;1;;;;;;;;;;;;;;15490490;High
3;3168;4;15;19;1;;;;1;;;1;;;;;;;;;;;11698437;High
3;2617;2;15;20;1;;;;1;;;;1;;1;1;;;;;;;17797632;Low
3;1961;4;15;19;1;;;;;;;1;;;;;;;;;;;7634670;High
3;3671;5;15;18;1;;;1;;;;;;;;;;;;;;;11203676;High
3;2006;4;15;19;1;;;;1;;1;;1;;;;;;;;;;13822773;High
3;2871;4;15;20;1;;;;1;;;;;;1;;;;;;;;19542066;High
