UserID,MovieID,Rating,Timestamp
1,1193,5,2015-05-14 08:48:14
1,661,3,2015-11-08 12:41:07
1,914,3,2015-02-27 19:56:12
1,3408,4,2015-08-05 06:46:28
2,1357,5,2015-10-18 15:24:38
2,3068,4,2015-01-14 15:31:09
2,1537,4,2015-05-22 09:03:30
2,647,3,2014-02-21 07:02:49
2,2194,4,2015-10-25 03:23:12
2,648,4,2015-01-07 10:58:19
2,2268,5,2014-05-27 15:12:42
2,2628,3,2015-11-03 14:11:03
2,1103,3,2015-06-07 05:36:56
2,2916,3,2015-09-19 18:07:05
2,3468,5,2015-08-17 09:42:45
2,1210,4,2014-02-09 14:01:03
2,1792,3,2015-07-02 00:47:44
2,1687,3,2014-05-11 10:57:57
2,1213,2,2014-11-28 21:19:25
2,3578,5,2015-06-24 00:51:45
2,2881,3,2014-12-29 21:27:23
2,3030,4,2014-10-09 16:27:37
2,1217,3,2014-03-12 16:41:31
2,3105,4,2015-10-17 05:59:39
2,434,2,2015-10-03 23:12:06
2,2126,3,2014-02-04 15:38:02
2,3107,2,2014-12-23 09:11:41
2,3108,3,2015-02-01 21:54:47
2,3035,4,2014-10-16 07:39:24
2,1253,3,2015-03-12 13:36:09
2,1610,5,2015-05-19 22:57:16
2,292,3,2015-02-01 02:20:35
2,2236,5,2014-03-07 19:08:36
2,3071,4,2014-09-10 08:28:48
2,902,2,2015-11-11 04:28:44
2,368,4,2015-11-24 10:49:51
2,1259,5,2014-03-24 11:16:47
2,3147,5,2014-04-08 23:56:24
2,1544,4,2014-05-28 06:56:25
2,1293,5,2014-08-21 01:35:22
2,1188,4,2015-11-19 22:41:39
2,3255,4,2015-06-03 09:40:02
2,3256,2,2014-12-16 14:04:38
2,3257,3,2014-10-25 10:45:06
2,110,5,2014-05-11 09:57:34
2,2278,3,2015-05-08 08:51:39
2,2490,3,2014-02-10 09:27:24
2,1834,4,2014-02-07 14:12:48
2,3471,5,2014-02-13 20:24:40
2,589,4,2014-03-24 17:45:50
